Time_s,Real,Imaginary,Magnitude
-2.4620741109177,2.747021684264437e-08,2.0006595653721433e-07,2.0194306073379306e-07
-2.459587167371318,2.1945980659498758e-08,2.0593243203593667e-07,2.0709850948604814e-07
-2.457100223824937,1.6100731992112026e-08,2.1176897714331092e-07,2.1238016209384048e-07
-2.454613280278555,9.927670550551471e-09,2.1756457804644042e-07,2.1779096460387414e-07
-2.4521263367321735,3.420193218538938e-09,2.2330773776628718e-07,2.2333392816128276e-07
-2.4496393931857923,-3.4280853498721068e-09,2.2898647139440405e-07,2.2901213035738137e-07
-2.4471524496394106,-1.0623311499988347e-08,2.345883019126739e-07,2.348287166031821e-07
-2.4446655060930294,-1.817137071808307e-08,2.401002566308552e-07,2.4078690152908347e-07
-2.4421785625466477,-2.6077865151844176e-08,2.4550886427738353e-07,2.468899704112107e-07
-2.439691619000266,-3.434809051793472e-08,2.508001527793751e-07,2.5314128062484423e-07
-2.4372046754538848,-4.298701240637988e-08,2.55959647768329e-07,2.595442631254124e-07
-2.434717731907503,-5.1999241992979505e-08,2.6097237184847e-07,2.6610242395750657e-07
-2.4322307883611214,-6.138901117247754e-08,2.658228446651249e-07,2.728193457924011e-07
-2.42974384481474,-7.116014712679137e-08,2.704950838109041e-07,2.796986894945606e-07
-2.4272569012683585,-8.131604634423271e-08,2.7497260660780195e-07,2.8674419571762284e-07
-2.4247699577219772,-9.185964810731722e-08,2.792384328036185e-07,2.939596865303491e-07
-2.4222830141755956,-1.0279340746853858e-07,2.8327508822135226e-07,3.0134906707306717e-07
-2.419796070629214,-1.141192677351382e-07,2.870646094003718e-07,3.089163272450846e-07
-2.4173091270828326,-1.2583863248582753e-07,2.90588549268332e-07,3.1666554342362063e-07
-2.414822183536451,-1.379523371442167e-07,2.938279838828361e-07,3.246008802147706e-07
-2.4123352399900693,-1.5046062013561065e-07,2.967635202818468e-07,3.327265922370297e-07
-2.409848296443688,-1.6336309365577666e-07,2.993753054818054e-07,3.410470259379348e-07
-2.4073613528973064,-1.7665871408226685e-07,3.0164303666224545e-07,3.495666214443548e-07
-2.404874409350925,-1.903457520609021e-07,3.0354597257549667e-07,3.5828991444699445e-07
-2.4023874658045434,-2.0442176230206326e-07,3.0506294621978906e-07,3.6722153811967395e-07
-2.3999005222581618,-2.188835531235388e-07,3.061723788137006e-07,3.7636622507396333e-07
-2.3974135787117805,-2.3372715577878022e-07,3.068522951094294e-07,3.8572880934973283e-07
-2.394926635165399,-2.4894779361158977e-07,3.070803400818649e-07,3.953142284422261e-07
-2.392439691619017,-2.6453985108041466e-07,3.068337970298033e-07,4.051275253662413e-07
-2.389952748072636,-2.8049684269764416e-07,3.060896071249412e-07,4.151738507580262e-07
