Time_s,Real,Imaginary,Magnitude
-2.1760756030838255,3.2496921813746195e-08,2.092246528715552e-07,2.1173333534564533e-07
-2.173588659537444,2.603899238001315e-08,2.1630456477622452e-07,2.178662292949467e-07
-2.1711017159910626,1.9147572283013358e-08,2.2335019616022626e-07,2.2416944405771444e-07
-2.168614772444681,1.181205564700994e-08,2.3034482815010967e-07,2.3064748971994385e-07
-2.1661278288982997,4.022170032384588e-09,2.372709003310342e-07,2.3730498940323396e-07
-2.163640885351918,-4.2319831301656696e-09,2.441100010461223e-07,2.441466819187839e-07
-2.1611539418055363,-1.295988668430903e-08,2.508428589873912e-07,2.511774244788699e-07
-2.158666998259155,-2.2170564485391718e-08,2.574493361664347e-07,2.5840219546694804e-07
-2.1561800547127734,-3.187253674790807e-08,2.639084223546525e-07,2.658260972674963e-07
-2.1536931111663917,-4.207377402469362e-08,2.701982310844445e-07,2.734543591567775e-07
-2.1512061676200105,-5.278164984346739e-08,2.7629599730418943e-07,2.8129234025567607e-07
-2.148719224073629,-6.400289203075342e-08,2.8217807678119415e-07,2.8934553254583663e-07
-2.1462322805272476,-7.574353275755153e-08,2.878199473479246e-07,2.9761956395028265e-07
-2.143745336980866,-8.800885734586202e-08,2.9319621208791993e-07,3.0612020147979263e-07
-2.141258393434484,-1.008033518798578e-07,2.982806045586053e-07,3.148533544462588e-07
-2.138771449888103,-1.1413064967044655e-07,3.0304599614895957e-07,3.238250777443177e-07
-2.1362845063417213,-1.2799347662707374e-07,3.0746440567050484e-07,3.330415752025594e-07
-2.1337975627953396,-1.4239359559576598e-07,3.115070112804027e-07,3.425092030056119e-07
-2.1313106192489584,-1.5733174972786707e-07,3.1514416483559765e-07,3.522344731884694e-07
-2.1288236757025767,-1.7280760494930184e-07,3.1834540877684495e-07,3.6222405720439177e-07
-2.1263367321561955,-1.8881969160597627e-07,3.2107949564117825e-07,3.7248478956780157e-07
-2.1238497886098138,-2.053653453665053e-07,3.233144103008129e-07,3.830236715735288e-07
-2.121362845063432,-2.224406474695193e-07,3.2501739502574e-07,3.9384787509389574e-07
-2.118875901517051,-2.400403644086036e-07,3.2615497746618125e-07,4.049647464550222e-07
-2.116388957970669,-2.5815788715416914e-07,3.2669300164984093e-07,4.1638181039388316e-07
-2.1139020144242875,-2.767851700176444e-07,3.2659666208726307e-07,4.2810677409758215e-07
-2.1114150708779063,-2.959126692696619e-07,3.2583054107677925e-07,4.401475313263532e-07
